team,wins,posterior_mean_win_prob,posterior_mean_wins
Milwaukee Bucks,48,0.6541746316399715,53.64231979447766
Minnesota Timberwolves,49,0.6446356652581987,52.86012455117229
Boston Celtics,61,0.6156570651636097,50.483879343416
Cleveland Cavaliers,64,0.6082198014165255,49.874023716155094
Houston Rockets,52,0.604976298072498,49.60805644194483
Oklahoma City Thunder,68,0.6000147869962125,49.20121253368942
Phoenix Suns,36,0.5806200771980569,47.61084633024066
Golden State Warriors,48,0.5759163622031874,47.22514170066137
Orlando Magic,41,0.5748390142994338,47.13679917255357
Denver Nuggets,50,0.5592517425185604,45.85864288652195
Portland Trail Blazers,36,0.5572744053458021,45.69650123835577
New York Knicks,51,0.5506453039418376,45.15291492323069
Los Angeles Lakers,50,0.5227899624647233,42.86877692210731
Detroit Pistons,44,0.5220644682356408,42.809286395322545
Miami Heat,37,0.5089391743648463,41.73301229791739
Atlanta Hawks,40,0.4968873978847203,40.74476662654706
Indiana Pacers,50,0.4917192102173131,40.320975237819674
Los Angeles Clippers,50,0.4839845493148526,39.68673304381791
Sacramento Kings,40,0.4814885016137319,39.48205713232602
Dallas Mavericks,39,0.480224008840204,39.37836872489673
Washington Wizards,18,0.46815624621288776,38.38881218945679
Memphis Grizzlies,48,0.4392202398861291,36.016059670662585
San Antonio Spurs,34,0.43584044358713697,35.738916374145234
Toronto Raptors,30,0.4140013186543131,33.948108129653676
Chicago Bulls,39,0.4002087535786022,32.81711779344538
Charlotte Hornets,19,0.3898817591836091,31.970304253055946
Utah Jazz,17,0.36432311270536927,29.87449524184028
New Orleans Pelicans,21,0.3363649171348692,27.581923205059276
Brooklyn Nets,26,0.32110150086822764,26.330323071194666
Philadelphia 76ers,24,0.3208843714668302,26.312518460280074
