team,intercept,0-3,3-10,10-16,16-3P,3P,def_0-3,def_3-10,def_10-16,def_16-3P,def_3P,win_pred
Oklahoma City Thunder,0.2980411809614542,17.328133522518446,-38.31772268367481,-72.20220693186842,-4.837936381392765,-0.2776061072980605,-37.81853510327303,-2.6114197831601595,20.661971084731817,3.3261710171814367,163.65232271896352,49.20121253368942
Cleveland Cavaliers,-0.0917607526992978,8.002464138198398,15.7151413918576,-10.805087651796821,8.192256363355776,-1.390817203258358,-5.154172965121373,-7.738523749913136,30.33896621986533,-0.3336823673572346,13.139240293024214,49.874023716155094
Boston Celtics,-0.1001347221771094,-27.362644328145183,32.825917080266564,-13.29320303600375,2.4381467045855056,-4.866947316947652,13.176141972705333,8.006044221415308,25.09774351258235,3.779457669673073,10.783357585461548,50.483879343416
Houston Rockets,-0.05210337427762238,2.423434838216294,-1.8291599883345409,3.243512802839246,-6.766120284394761,0.8206138630171271,0.7418478026754314,5.592453125129779,17.227000276795707,0.39854189127853257,27.80803548899964,49.60805644194483
New York Knicks,-0.09851873344561915,25.202696329665464,12.666080221324641,12.044203889493014,2.3987995379417364,1.6350647163806806,-19.406719232180713,-15.32207527314658,1.0507537222210759,0.3829647547194041,24.599664990257587,45.15291492323069
Denver Nuggets,-0.1338989746241346,30.361090648577218,-21.85193084212787,-14.762715846721909,-20.64832056904959,3.6961952697955134,4.420458108799453,-1.7598227373327733,54.981944865583664,-0.48691543524827063,12.042558398870652,45.85864288652195
Indiana Pacers,-0.14367971630895837,-6.682838393399592,7.225292789170191,21.875761217619992,-16.32590929850194,1.2896188802549806,-3.3495718875396427,15.421689854641434,-21.45386851970703,-1.0629816469543913,43.52746195854463,40.320975237819674
Los Angeles Clippers,0.1652698792399783,17.295842627748147,49.31720764495898,-21.44428089744642,-8.048201516422866,-2.3930395468181422,-17.092387965666894,-7.783458113517417,-1.762689538414453,-0.6424416611139278,32.07491213127093,39.68673304381791
Los Angeles Lakers,2.0652719331205143,96.06003493067743,-162.6445272991874,-97.5864381991403,134.09763295771293,3.322698225888204,-165.1222948950035,-221.67348346924942,198.24482976029637,38.58707011723932,217.51798285975312,42.86877692210731
Minnesota Timberwolves,-0.06932837944175511,4.836907753450037,8.419865178161134,-7.6436370680606505,7.877582609812336,-0.9921053893302398,0.3362639538392616,0.9871083558485729,24.770682507864898,-0.5129102204044438,14.84969524943313,52.86012455117229
Golden State Warriors,-0.1460765419854114,-49.258817630568956,-39.43182423854829,-24.87012746406971,5.927947730742188,-2.9562314703986496,56.247039116505505,60.47595100711077,32.71763411784807,0.5678327878888236,7.951814286137022,47.22514170066137
Memphis Grizzlies,0.09862250528670397,7.454094480321491,38.55292787721639,4.216213172807554,-16.80928370542761,-0.6346724963306067,-2.79294367995681,3.9965769746854996,-11.570465533864647,-0.38336813949992166,13.888358215424544,36.016059670662585
Milwaukee Bucks,-0.1318333962308384,13.796643918274107,60.10394127673532,4.251728951635972,-40.659582864202655,-0.15628364494661529,1.2582381473538466,-23.391112738944674,61.16413165968554,2.992142741789531,-25.585694256671864,53.64231979447766
Detroit Pistons,-0.9985025210605156,5.8053001104386315,-262.4297423135522,-42.687006075726465,40.52033730680846,11.498683749992672,178.2552718469057,211.06533043683476,-42.59820255324948,-3.6309933739480926,-51.991190218120856,42.809286395322545
Orlando Magic,-0.05071423374333593,-0.29485288273313776,0.024059355621827594,-0.2662561098906368,-4.939295348847905,0.21900806074773296,0.722069220822425,6.554239433136145,11.35876932483244,1.3418087389804487,32.467963613627575,47.13679917255357
Atlanta Hawks,-1.3734707450337307,247.54640142536434,-136.18203605246012,-141.12750218542723,234.09524375051083,6.5127963140862155,-199.63776540587875,-243.69401046509032,234.380519883986,-10.16131039304259,50.3859004995324,40.74476662654706
Sacramento Kings,0.12965265851005447,41.45907669639275,9.16477523243726,-31.409109468736514,46.300745600275135,-1.6577476815819847,-34.10018322152066,-30.956250135087195,8.988286358789509,-0.503989412251519,32.06680050509918,39.48205713232602
Chicago Bulls,0.10092294568698382,-22.29713302132299,-19.43882791382956,25.508886025870748,-9.829355575923548,1.5296885099117121,20.354029894485066,16.801340491740735,28.52449137261106,-1.151621072552657,-7.285303863232183,32.81711779344538
Dallas Mavericks,-0.07015169619585282,0.4078624150499863,-7.954084506835422,4.367047775826334,-4.554933545055601,0.956365955687006,-7.233211491098729,3.6879909013335146,6.359737922109441,-0.2551023544615803,43.66684734853764,39.37836872489673
Miami Heat,0.4507103172261388,39.30649045717568,47.896043712643554,-24.676981429053924,-54.8709703674997,1.488408570966656,-8.532777922265847,15.796392096982538,-28.84236491307934,-1.7520136531321633,55.47007542795381,41.73301229791739
Phoenix Suns,-0.22481106370082887,-108.48539711062529,24.103507402050912,110.10385787645482,-23.720012561050424,-1.789392405011249,27.47111500699723,11.818690101705341,20.380682501764586,7.639505785519419,-19.68689920386386,47.61084633024066
Portland Trail Blazers,-0.07274448077707733,17.763349017184584,8.834747408352511,-11.839448063792878,0.5904103066590398,0.09855532322832528,-6.47619455977569,-4.541353735680467,8.534436487525802,3.0193004721910426,29.78544306324058,45.69650123835577
San Antonio Spurs,0.11099752615439863,-19.360210032063346,-34.01730791381574,6.41026080331173,1.8017609791192262,0.9304832288756666,18.217818059811528,17.870679316745566,37.29116666523272,-1.2665810460693498,7.749848786842863,35.73891637414524
Toronto Raptors,0.08217276355535351,-27.23191976688025,1.7152786934680089,-2.0338246531959596,-10.003985047005422,-1.6768916073482285,15.415394692400758,11.429889747546786,36.37123993858206,1.2261769479014406,8.654576420629125,33.948108129653676
Brooklyn Nets,0.03397810234363946,-0.39509781323039944,-0.016119562247115634,5.275226847512362,-4.9639283830450225,0.529391542409681,4.6198350479523125,0.44657128438516736,17.75731575998726,1.2739389062083148,1.7692113389184647,26.330323071194666
Philadelphia 76ers,0.02853632818549742,-4.479580705266946,-6.105605732215315,1.433984867057747,1.1580357777625079,0.05799217379851261,6.960681767675311,6.313350309442277,14.152499920569388,0.7478640720317721,6.044759681239313,26.31251846028007
New Orleans Pelicans,0.027149420106086473,-3.788325694909036,-0.20607943925632335,-2.708219577496382,-0.2203507026130379,-0.41610141073897833,4.328548763780314,4.371075619078102,14.912481023628256,0.7115167635392533,10.570228439941017,27.581923205059272
Charlotte Hornets,0.034652855116125106,-0.0,2.2029160376392904,2.2611530010831142,-2.250001935230769,0.129107584187101,2.759715913110127,8.046097872061376,1.4783631589805877,0.12601298911233072,17.18228677699666,31.970304253055946
Washington Wizards,0.268645577288342,20.304792592789504,20.901510217416536,23.57421453225356,-2.180386965101345,1.5695994631028556,-7.607918345357413,-9.7096608875333,-17.191471941716305,4.008712860250141,4.450775086064221,38.38881218945679
Utah Jazz,0.03047811685821316,10.631998103020683,13.432534584247936,2.903110224611804,-4.205241417399817,0.3587261080246037,-7.443867011533232,-7.110140138115014,6.9888980777833885,0.7987533796666761,13.489245214675037,29.874495241840275
